,session,strategy,substrategy,sender,agent_type,role,receivers,human_receivers,ai_receivers,time,message,label_w/o_ChatGPT,label_w_ChatGPT
0,2024_09_02_12_33_16,hierarchy,Human-only leaders,A,human,order,"['B', 'C']",[],"['B', 'C']",82.91,B i order you to sense object 5,order,order
1,2024_09_02_12_33_16,hierarchy,Human-only leaders,B,ai,obey,"['A', 'C']",['A'],['C'],83.77,"I will follow your orders to sense, A. ",,
2,2024_09_02_12_33_16,hierarchy,Human-only leaders,A,human,order,"['B', 'C']",[],"['B', 'C']",87.04,C I order you to sense object 5,order,order
3,2024_09_02_12_33_16,hierarchy,Human-only leaders,C,ai,obey,"['A', 'B']",['A'],['B'],87.89,"I will follow your orders to sense, A. ",,
4,2024_09_02_12_33_16,hierarchy,Human-only leaders,B,ai,obey,"['A', 'C']",['A'],['C'],91.78,"Hey C, I need you to move.  ",,
5,2024_09_02_12_33_16,hierarchy,Human-only leaders,C,ai,obey,"['A', 'B']",['A'],['B'],93.11, Ok B. ,,
6,2024_09_02_12_33_16,hierarchy,Human-only leaders,B,ai,obey,"['A', 'C']",['A'],['C'],137.07,"Object 5 (weight: 2) Last seen in (-7.5,7.5) at 02:16. Status: [dangerous], Prob. Correct: [75.9%], From: [B]. Object 7 (weight: 2) Last seen in (-8.5,6.5) at 02:16. Status: [benign], Prob. Correct: [72.6%], From: [B]. Object 9 (weight: 2) Last seen in (-8.5,5.5) at 02:16. Status: [benign], Prob. Correct: [72.6%], From: [B].  ",auto,auto
7,2024_09_02_12_33_16,hierarchy,Human-only leaders,B,ai,obey,"['A', 'C']",['A'],['C'],138.79,Order completed.  ,,
8,2024_09_02_12_33_16,hierarchy,Human-only leaders,C,ai,obey,"['A', 'B']",['A'],['B'],170.51,"Hey B, I need you to move.  ",,
9,2024_09_02_12_33_16,hierarchy,Human-only leaders,B,ai,obey,"['A', 'C']",['A'],['C'],171.06,Ok C. ,,
10,2024_09_02_12_33_16,hierarchy,Human-only leaders,C,ai,obey,"['A', 'B']",['A'],['B'],178.85,"Object 5 (weight: 2) Last seen in (-7.5,7.5) at 02:58. Status: [dangerous,dangerous], Prob. Correct: [75.9%,72.9%], From: [B,C]. Object 7 (weight: 2) Last seen in (-8.5,6.5) at 02:58. Status: [benign,dangerous], Prob. Correct: [72.6%,72.9%], From: [B,C]. Object 9 (weight: 2) Last seen in (-8.5,5.5) at 02:58. Status: [benign,dangerous], Prob. Correct: [72.6%,72.9%], From: [B,C].  ",auto,auto
11,2024_09_02_12_33_16,hierarchy,Human-only leaders,C,ai,obey,"['A', 'B']",['A'],['B'],180.58,Order completed.  ,,
12,2024_09_02_12_33_16,hierarchy,Human-only leaders,A,human,order,"['B', 'C']",[],"['B', 'C']",203.38,I order B to carry object 7,order,order
13,2024_09_02_12_33_16,hierarchy,Human-only leaders,B,ai,obey,"['A', 'C']",['A'],['C'],203.97,"I will follow your orders to collect, A. ",,
14,2024_09_02_12_33_16,hierarchy,Human-only leaders,B,ai,obey,"['A', 'C']",['A'],['C'],227.45,I need 1 more robots to help carry object 7.  ,,
15,2024_09_02_12_33_16,hierarchy,Human-only leaders,C,ai,obey,"['A', 'B']",['A'],['B'],227.73,I can help you B. Let me know if I should follow you or you want to follow me. ,,
16,2024_09_02_12_33_16,hierarchy,Human-only leaders,B,ai,obey,"['A', 'C']",['A'],['C'],228.44,"Thanks, follow me C. Stay close to me. ",,
17,2024_09_02_12_33_16,hierarchy,Human-only leaders,C,ai,obey,"['A', 'B']",['A'],['B'],229.30,I'll follow you B until you tell me you don't need my help anymore. Please don't move too far away from me so I don't lose track. ,,
18,2024_09_02_12_33_16,hierarchy,Human-only leaders,B,ai,obey,"['A', 'C']",['A'],['C'],231.59,"Hey C, I need you to move. ",,
19,2024_09_02_12_33_16,hierarchy,Human-only leaders,C,ai,obey,"['A', 'B']",['A'],['B'],232.43,Ok B. ,,
