id,group_size,message,annotator_a,annotator_b,annotator_c,annotator_d,ChatGPT,merged_label_w_ChatGPT,merged_label_w/o_ChatGPT
3591,52,Follow me,['order'],['order'],['order'],['order'],['order'],order,order
208,47,order completed,['confirm'],['confirm'],['confirm'],['confirm'],['confirm'],confirm,confirm
137,36,ok,['confirm'],['confirm'],['confirm'],['confirm'],['confirm'],confirm,confirm
644,18,"what's your sensing for object 8, C",['features'],['why'],['features'],['features'],['features'],features,features
3026,10,yes,['confirm'],['confirm'],['order'],['confirm'],['confirm'],confirm,confirm
1806,10,"C, follow me ",['order'],['order'],['confirm'],['order'],['order'],order,order
1210,9,"order completed, C",['confirm'],['confirm'],['order'],['confirm'],['confirm'],confirm,confirm
1253,9,"move, C",['order'],['order'],['order'],['order'],['order'],order,order
3543,8,D I order you to carry object 14,['order'],['order'],['order'],['order'],['order'],order,order
1938,8,order complete,['confirm'],['confirm'],['confirm'],['confirm'],['confirm'],confirm,confirm
1408,8,okay,['confirm'],['confirm'],['confirm'],['confirm'],['confirm'],confirm,confirm
1125,8,"Hey B, I need help to sense object 12",['order'],['order'],['order'],['order'],"['order', 'features']",order,order
1070,8,"C, can you help me sense object13",['order'],['order'],"['order', 'why']",['order'],"['order', 'features']",order,order
53,8,C I order you to sense object 3,['order'],['order'],['order'],['order'],['order'],order,order
2742,7,Please sense object 18,['order'],['order'],['order'],['order'],['order'],order,order
1767,6,object 3,[''],[''],['order'],[''],['features'],,
808,6,C I need you to move,['order'],['order'],['order'],['order'],['order'],order,order
2379,6,"D, can you move object 11?",['order'],['order'],['order'],['order'],['order'],order,order
3402,6,"C, can you sense object 3?",['order'],['why'],['order'],['order'],"['order', 'features']",order,order
2728,5,Sense object 0,['order'],['order'],"['order', 'features']",['order'],['order'],order,order
3875,5,Hello,['confirm'],['confirm'],['confirm'],[''],[''],confirm,confirm
1301,5,"D, what do you know about object 10?",['features'],['why'],['features'],['features'],['features'],features,features
974,5,Agent D can you help me,['order'],['order'],['order'],['order'],['order'],order,order
1535,5,sure,['confirm'],['confirm'],['confirm'],['confirm'],['confirm'],confirm,confirm
2161,5,I will follow you,['doing'],['doing'],['doing'],['doing'],['confirm'],doing,doing
77,5,"Follow me, B",['order'],['order'],['order'],['order'],['order'],order,order
4039,4,hey agent b can you help me sense object 18,['order'],['order'],['order'],['order'],"['order', 'features']",order,order
3849,4,please follow me,['order'],['order'],['order'],['order'],['order'],order,order
2067,4,Hi B can you help me carry an object,['order'],"['doing', 'order']",['order'],['order'],['order'],order,order
1023,4,move C,['order'],['order'],['order'],['order'],['order'],order,order
932,4,"Agent C, can you follow me",['order'],['order'],['order'],['order'],['order'],order,order
2506,4,C what do you know about object 3,['features'],['why'],['features'],['features'],['features'],features,features
683,4,"C, I order you to sense object19",['order'],['order'],['order'],['order'],['order'],order,order
726,4,come closer,['order'],['order'],['order'],['order'],['order'],order,order
281,4,I can help you B,['confirm'],['doing'],['doing'],['doing'],['confirm'],doing,doing
79,4,Come closer B,['order'],['order'],['order'],['order'],['order'],order,order
4254,3,I'll sense another room,['doing'],['doing'],['doing'],['doing'],['doing'],doing,doing
4173,3,"D, please scan object 0",['order'],['order'],['order'],['order'],['order'],order,order
3281,3,"hey agent D, can you help me check out object 19?",['order'],['order'],['order'],['order'],"['order', 'features']",order,order
2721,3,Move,['order'],['order'],['order'],['order'],['order'],order,order
2633,3,Can you help me?,['order'],['order'],['order'],['order'],['order'],order,order
2580,3,agent d,['features'],[''],['confirm'],[''],[''],,
2009,3,"Hey C, can you help me sense object  in location (-6.8, 8.5)",['order'],['order'],['order'],['order'],"['order', 'features']",order,order
3398,3,"C, sense object 3",['order'],['order'],['order'],['order'],['order'],order,order
3528,3,I need help to carry an object,['doing'],['order'],"['order', 'why']","['make-safe', 'order', 'doing']",['order'],order,order
1616,3,follow me please,['order'],['order'],['order'],['order'],['order'],order,order
1472,3,yeah,['confirm'],['confirm'],['confirm'],['confirm'],['confirm'],confirm,confirm
3036,3,"agent C, can you scan object 11?",['order'],['why'],['order'],['order'],"['order', 'features']",order,order
1004,3,I need a robot to help me pick up object 3,['doing'],['order'],"['order', 'why']","['make-safe', 'order', 'doing']",['order'],order,order
806,3,I will follow you A,['confirm'],['doing'],['doing'],['doing'],['confirm'],doing,doing
2785,3,"D, I need you to move",['order'],['order'],['order'],['order'],['order'],order,order
4011,3,"Hey B, can you help me sense object 8 in location (-6.5,8.5), last seen at 04:07.",['order'],['order'],['order'],['order'],"['order', 'features']",order,order
4200,3,"C, move away",['order'],['order'],['order'],['order'],['order'],order,order
3196,3,Agent B can you help me scan object 14,['order'],['order'],['order'],['order'],"['order', 'features']",order,order
3303,3,agent D can you follow me?,['order'],['order'],['order'],['order'],['order'],order,order
3192,3,Agent B can you scan object 14,['order'],['why'],['order'],['order'],"['order', 'features']",order,order
83,3,C follow me,['order'],['order'],['order'],['order'],['order'],order,order
4239,2,"D, I need you to help me carry okject 6",['order'],['order'],['order'],['order'],['order'],order,order
4210,2,"B ,do you need help?",['doing'],['order'],['order'],['doing'],['order'],order,
